Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/search,139,0,81,93.3139906764213,66.86475000606151,312.522958003683,178266.92805755395,4.955036957040497,0.0,81,85,88,100,130,160,250,300,310,310,310
GET,/api/seats/[id],29,0,9,50.6345517250934,6.881207998958416,231.8526250019204,1444.4827586206898,1.0337846888789528,0.0,9,56,68,100,170,180,230,230,230,230,230
,Aggregated,168,0,79,85.9467065717278,6.881207998958416,312.522958003683,147744.00595238095,5.98882164591945,0.0,79,84,88,100,130,170,240,300,310,310,310
